measurement.ID,sites.sitename,plot.name,stand.age,dominant.life.form,dominant.veg,scientific.name,veg.notes,variable.name,date,date.loc,start.date,start.date.loc,end.date,end.date.loc,mean,n,stat.name,stat,area.sampled,notes,method.ID,allometry_1,allometry_2,min.dbh,depth,covariate_1,coV_1.value,covariate_2,coV_2.value,conflicts,R.group,S.group,D.group,D.precedence,conflict.type,D.precedence.measurement.ID,conflicts.notes,citation.ID,loaded.from,source.notes,measurement.ID.v1,loaded.by,checked.ori.pub,ForC.investigator,required.citations,flag.suspicious
413,Andrews 12,unmanaged,629,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,4.09,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
417,Andrews 12,unmanaged,629,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,6.42,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
418,Andrews 12,unmanaged,629,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,6.36,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
434,Andrews 2,Managed,20,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,6.35,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
437,Andrews 2,Managed,20,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,7.26,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
441,Andrews 2,Managed,20,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,11.26,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
442,Andrews 2,Managed,20,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,10.95,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
458,Andrews 3,recently disturbed,12,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,6.4,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
461,Andrews 3,recently disturbed,12,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,7.1,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
465,Andrews 3,recently disturbed,12,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,9.58,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
466,Andrews 3,recently disturbed,12,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,9.34,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
482,Andrews 4,Managed,38,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,6.81,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
485,Andrews 4,Managed,38,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,7.88,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
489,Andrews 4,Managed,38,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,11.6,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
490,Andrews 4,Managed,38,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,11.6,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
506,Andrews 5,Managed,38,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,7.29,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
509,Andrews 5,Managed,38,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,7.8,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
513,Andrews 5,Managed,38,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,9.73,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
514,Andrews 5,Managed,38,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,9.69,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
530,Andrews 6,Managed,70,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,7.61,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
533,Andrews 6,Managed,70,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,8.28,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
537,Andrews 6,Managed,70,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,10.48,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
538,Andrews 6,Managed,70,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,10.44,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
554,Andrews 7,Managed,142,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.86,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
557,Andrews 7,Managed,142,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,6.44,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
561,Andrews 7,Managed,142,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,8.43,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
562,Andrews 7,Managed,142,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,8.36,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
578,Andrews 8,Managed,146,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,6.09,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
581,Andrews 8,Managed,146,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,6.99,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
585,Andrews 8,Managed,146,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,9.31,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
586,Andrews 8,Managed,146,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,9.26,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
602,Andrews 9,Managed,166,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.56,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
