Index,Lat,Long,Age_yr,AgeClass,BiomassRoot_gm2,BiomassAGW_gm2,BiomassFoliage_gm2,BiomassFruit_gm2,BiomassTotal_gm2,NPPRoot_gm2y,NPPAGW_gm2y,NPPFoliage_gm2y,NPPFruit_gm2y,NPPTotal_gm2y,Lgs_mo,MAT_C,GST_C,MAinvBT_eV-1,GSinvBT_eV-1,MAP_mm,GSP_mm,LeafType,BiomeClimate,BiomeSource,TEB_DD,Fertility,Source,SourceIndex,SourcePrimary,Methodology for biomass and production
11,60.86,23.85,28,0-50,700,1480,230,,2410,96,162,90,,348,6,3.275,10.98333333,42.02329172,40.850742,601.3,365.3,needle,taiga,evergreen Pinus forest,2.65,Low,Cannell (1982),page  63,Mälkönen (1974),"Site allometries, root cores and excavation, litterfall traps."
12,60.86,23.85,45,0-50,1940,6830,440,,9210,129,377,174,,680,6,3.275,10.98333333,42.02329172,40.850742,601.3,365.3,needle,taiga,evergreen Pinus forest,2.65,Low,Cannell (1982),page  63,Mälkönen (1974),"Site allometries, root cores and excavation, litterfall traps."
13,60.86,23.85,47,0-50,1100,3720,350,,5170,107,285,138,,530,6,3.275,10.98333333,42.02329172,40.850742,601.3,365.3,needle,taiga,evergreen Pinus forest,2.65,Low,Cannell (1982),page  63,Mälkönen (1974),"Site allometries, root cores and excavation, litterfall traps."
14,48.24,2.42,270,201+,4900,29000,350,50,34300,80,582,345,50,1007,12,11,11,40.85646634,40.85646634,634.1,634.1,broadleaf,woodland/shrubland,Fagus forest,70.65,High,Cannell (1982),page  66,Lemée (1978),"Site allometries, litterfall traps."
15,51.47,9.35,59,51-100,2400,15060,320,30,17810,126,906,316,25,1348,8,8.416666667,12.0125,41.23601957,40.70534586,760.1,526.5,broadleaf,woodland/shrubland,montane Luzulo-Fagus forest,13.25,Med,Cannell (1982),page  72,Ellenberg (1971); Ellenberg (1981),"Site allometries, litterfall traps."
16,51.47,9.35,80,51-100,2210,15550,330,30,18120,63,670,327,28,1060,8,8.416666667,12.0125,41.23601957,40.70534586,760.1,526.5,broadleaf,woodland/shrubland,montane Luzulo-Fagus forest,13.25,Med,Cannell (1982),page  72,Ellenberg (1971); Ellenberg (1981),"Site allometries, litterfall traps."
17,51.47,9.35,122,101-200,3000,27090,310,40,30440,66,780,298,77,1144,8,8.416666667,12.0125,41.23601957,40.70534586,760.1,526.5,broadleaf,woodland/shrubland,montane Luzulo-Fagus forest,13.25,Med,Cannell (1982),page  72,Ellenberg (1971); Ellenberg (1981),"Site allometries, litterfall traps."
18,61.06,-45.58,79,51-100,640,4730,120,,5490,9,78,120,,207,4,0.091666667,7.275,42.49211299,41.38481461,755.6,300.9,broadleaf,taiga,scrub-woodland,8.75,Low,Cannell (1982),page  75,Elkington and Jones (1974),"Site allometries, root excavation."
19,25.2,83,60,51-100,3270,18820,580,,22670,29,921,566,,1516,10,26.11666667,24.93,38.79234206,38.9458112,999.9,983.1,broadleaf,savanna,tropical dry deciduous forest,28.4,High,Cannell (1982),page  81,Singh (1975); Misra (1972); Sharma et al. (1981),"Site allometries, root excavation, litterfall traps."
20,33.3,130.3,4,0-50,930,6160,1010,,8100,370,2470,510,,3350,12,16.38333333,16.38333333,40.11068427,40.11068427,1863.1,1863.1,broadleaf,temperate forest,Acacia forest,82.2,High,Cannell (1982),page  95,"Tadaki (1965a, 1968a); Tadaki et al. (1963)",Allometries.
21,32.1,130.28,50,0-50,8380,33530,780,,42690,330,974,859,58,2163,12,16.56666667,16.56666667,40.07962702,40.07962702,2074.4,2074.4,broadleaf,temperate forest,warm temperate evergreen Quercus forest,5.15,Low,Cannell (1982),page  110,Kira et al. (1978),"Site allometries, litterfall traps."
22,32.1,130.28,50,0-50,8670,34670,680,,44020,465,971,421,58,1857,12,16.56666667,16.56666667,40.07962702,40.07962702,2074.4,2074.4,broadleaf,temperate forest,warm temperate evergreen Quercus forest,5.15,Low,Cannell (1982),page  110,Kira et al. (1978),"Site allometries, litterfall traps."
23,32.1,130.28,50,0-50,9240,36980,780,,47000,478,827,457,58,1762,12,16.56666667,16.56666667,40.07962702,40.07962702,2074.4,2074.4,broadleaf,temperate forest,warm temperate evergreen Quercus forest,5.15,Low,Cannell (1982),page  110,Kira et al. (1978),"Site allometries, litterfall traps."
24,36.51,138.41,100,51-100,5680,27310,240,10,33240,46,267,567,11,880,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  112,Kakubari (1977),"Site allometries, litterfall traps."
25,36.51,138.41,100,51-100,6350,30460,240,20,37070,49,281,573,11,903,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  112,Kakubari (1977),"Site allometries, litterfall traps."
26,36.51,138.41,100,51-100,7110,34160,270,10,41550,74,405,607,11,1086,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  112,Kakubari (1977),"Site allometries, litterfall traps."
27,36.51,138.41,100,51-100,7020,34370,380,10,41780,49,333,777,12,1159,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  112,Kakubari (1977),"Site allometries, litterfall traps."
28,36.51,138.41,100,51-100,3670,16950,190,20,20830,19,126,438,16,583,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  113,Kakubari (1977),"Site allometries, litterfall traps."
29,36.51,138.41,100,51-100,3220,14930,180,20,18350,22,137,433,16,592,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  113,Kakubari (1977),"Site allometries, litterfall traps."
30,36.51,138.41,100,51-100,3600,20320,240,,24160,26,163,482,0,671,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  113,Kakubari (1977),"Site allometries, litterfall traps."
31,36.51,138.41,100,51-100,6120,30000,360,10,36490,34,258,740,12,1032,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,Fagus forest,12.7,Med,Cannell (1982),page  113,Kakubari (1977),"Site allometries, litterfall traps."
32,36.51,138.41,100,51-100,7850,31130,250,,39230,152,509,252,,913,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  114,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
33,36.51,138.41,100,51-100,6980,34630,290,,41900,165,533,294,,992,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  114,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
34,36.51,138.41,100,51-100,6230,30890,270,,37390,168,566,272,,1006,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  114,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
35,36.51,138.41,100,51-100,6680,33120,300,,40100,168,541,301,,1010,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  114,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
36,36.51,138.41,100,51-100,7300,36200,320,,43820,173,548,317,,1038,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  114,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
37,36.51,138.41,100,51-100,7230,35860,300,,43390,196,680,302,,1178,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  114,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
38,36.51,138.41,100,51-100,3060,15100,190,,18350,104,326,194,,624,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  115,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
39,36.51,138.41,100,51-100,4140,20460,250,,24850,113,336,247,,696,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  115,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
40,36.51,138.41,100,51-100,4290,21200,270,,25760,126,356,272,,754,6,5.933333333,13.73333333,41.62376567,40.46005771,1506.3,1108.9,broadleaf,temperate forest,cool temperate deciduous forest,12.7,Med,Cannell (1982),page  115,"Maruyama (1971, 1977)","Site allometries, litterfall traps."
41,35.2,135.45,150,101-200,6460,28940,300,,35700,146,633,348,,1127,10,13.25,15.49,40.55413364,40.23111562,1654.1,1439.3,broadleaf,temperate forest,deciduous Fagus forest,6.6,Low,Cannell (1982),page  116,Kawahara et al. (1979); Ogino (1977),"Site allometries, root excavation, litterfall traps."
42,43,140.55,9.2,0-50,800,1050,470,,2320,430,860,310,,1600,6,5.866666667,14.2,41.63856056,40.39470534,1441.1,670.4,broadleaf,temperate forest,closed Sasa community,6.75,Low,Cannell (1982),page  121,"Oshima (1961a, 1961b)",Harvest.
43,33.2,133,121,101-200,11490,36080,1500,,49070,90,372,211,121,673,11,14.65833333,15.60909091,40.34756331,40.21167652,2162.3,2098.6,needle,temperate forest,temperate Abies-Tsuga forest,5.15,Low,Cannell (1982),page  125,Ando et al. (1977),"Site allometries, root excavation, litterfall traps."
44,35.3,138.4,20,0-50,1630,5500,1400,,8530,360,1210,290,,1860,8,11.89166667,16.6125,40.74466058,40.06225809,1652.2,1386.2,needle,temperate forest,subalpine forest,5.15,Low,Cannell (1982),page  129,Tadaki et al. (1967),"Allometries, root excavation, proportional basal area allocation, litterfall traps."
45,35.3,138.4,70,51-100,3690,12390,1760,,17840,310,1030,340,,1680,8,11.89166667,16.6125,40.74466058,40.06225809,1652.2,1386.2,needle,temperate forest,subalpine forest,5.15,Low,Cannell (1982),page  129,Tadaki et al. (1967),"Allometries, root excavation, proportional basal area allocation, litterfall traps."
46,35.3,138.4,90,51-100,6180,20670,1670,,28520,260,860,330,,1450,8,11.89166667,16.6125,40.74466058,40.06225809,1652.2,1386.2,needle,temperate forest,subalpine forest,5.15,Low,Cannell (1982),page  129,Tadaki et al. (1967),"Allometries, root excavation, proportional basal area allocation, litterfall traps."
47,35.3,138.4,130,101-200,5420,23800,1880,,31100,160,680,440,,1280,8,11.89166667,16.6125,40.74466058,40.06225809,1652.2,1386.2,needle,temperate forest,subalpine forest,5.15,Low,Cannell (1982),page  130,Tadaki et al. (1970),"Allometries, root excavation, proportional basal area allocation, litterfall traps."
48,36.3,138,100,51-100,5500,18200,2100,,25800,170,550,390,,1110,6,7.483333333,15.36666667,41.39420184,40.23080001,1426.4,1042.7,needle,temperate forest,subalpine forest,6.6,Low,Cannell (1982),page  132,Kimura et al. (1968); Kimura (1969); Kimura (1963),"Site allometries, harvest, root excavation."
49,33.2,133,443,201+,13660,43890,780,,58330,60,319,228,12,607,11,14.65833333,15.60909091,40.34756331,40.21167652,2162.3,2098.6,needle,temperate forest,temperate Abies-Tsuga forest,5.15,Low,Cannell (1982),page  186,Ando et al. (1977),"Site allometries, root excavation, litterfall traps."
50,51.55,6.42,140,101-200,4180,26500,330,80,31090,220,257,367,149,844,10,9.775,11.23,41.03339324,40.81998796,758,647.6,broadleaf,woodland/shrubland,Quercus woodland,2.55,Low,Cannell (1982),page  201,"Drift (1974, 1981)",Site allometries and litterfall traps.
51,55.44,13.18,190,101-200,3920,15200,300,,19420,190,177,326,51,693,8,7.766666667,11.425,41.33178473,40.78944474,614.4,434,broadleaf,woodland/shrubland,woodland,70.65,High,Cannell (1982),page  223,"Andersson (1970, 1971, 1981)","Site allometries, root excavation, litterfall traps."
52,55.5,13.32,90,51-100,4100,24500,,,35500,230,1250,410,70,1890,8,7.741666667,11.425,41.33571372,40.78950319,638.8,448.8,broadleaf,woodland/shrubland,south Swedish Fagus forest,2.6,Low,Cannell (1982),page  224,"Nihlgard (1972); Nihlgard and Lindgren (1977, 1981)","Site allometries, root excavation, litterfall traps."
53,55.5,13.32,90,51-100,5000,32000,360,,37360,240,1120,360,100,1720,8,7.741666667,11.425,41.33571372,40.78950319,638.8,448.8,broadleaf,woodland/shrubland,south Swedish Fagus forest,2.6,Low,Cannell (1982),page  224,"Nihlgard (1972); Nihlgard and Lindgren (1977, 1981)","Site allometries, root excavation, litterfall traps."
54,55.5,13.32,100,51-100,3400,16600,,,25900,170,900,270,40,1340,8,7.741666667,11.425,41.33571372,40.78950319,638.8,448.8,broadleaf,woodland/shrubland,south Swedish Fagus forest,2.6,Low,Cannell (1982),page  224,"Nihlgard (1972); Nihlgard and Lindgren (1977, 1981)","Site allometries, root excavation, litterfall traps."
55,35.28,-84,222,201+,7800,49600,400,20,57820,180,800,400,30,1380,9,12.06666667,15.32222222,40.71492853,40.24279052,1710.6,1260.5,broadleaf,temperate forest,upper cove forest,3.9,Low,Cannell (1982),page  250,Whittaker (1966); Whittaker and Woodwell (1971),Published allometries.
56,43.55,-71.4,83,51-100,2350,9390,350,20,12110,139,659,540,18,1338,6,6.975,15.51666667,41.47710724,40.20973111,983.7,513.6,broadleaf,temperate forest,cool temperate broadleaf-deciduous forest,15.6,High,Cannell (1982),page  259,Whittaker et al. (1974); Bormann et al. (1970); Gosz et al. (1972); Whittaker et al. (1979),"Site allometries, root excavation."
57,43.55,-71.4,95,51-100,2060,15410,280,10,17760,202,852,635,16,1689,6,6.975,15.51666667,41.47710724,40.20973111,983.7,513.6,broadleaf,temperate forest,cool temperate broadleaf-deciduous forest,15.6,High,Cannell (1982),page  259,Whittaker et al. (1974); Bormann et al. (1970); Gosz et al. (1972); Whittaker et al. (1979),"Site allometries, root excavation."
58,43.55,-71.4,124,101-200,3060,15540,300,20,18920,223,909,662,21,1794,6,6.975,15.51666667,41.47710724,40.20973111,983.7,513.6,broadleaf,temperate forest,cool temperate broadleaf-deciduous forest,15.6,High,Cannell (1982),page  259,Whittaker et al. (1974); Bormann et al. (1970); Gosz et al. (1972); Whittaker et al. (1979),"Site allometries, root excavation."
59,43.02,-89.24,130,101-200,6600,26000,390,10,33000,660,932,429,8,2021,7,7.35,15.37142857,41.43185351,40.23440998,822.2,612.5,broadleaf,temperate forest,deciduous Quercus forest,18.5,High,Cannell (1982),page  276,Lawson et al. (1981),
60,40.4,-73.1,43,0-50,3330,5790,410,20,9550,260,423,351,22,1034,8,11.40833333,16.2875,40.81671477,40.10865883,1143.7,750.7,mixed,temperate forest,Quercus-Pinus forest,,,Cannell (1982),page  279,"Whittaker and Woodwell (1968, 1969); Woodwell et al. (1975)","Site allometries, root excavation, litterfall traps."
61,35.15,-97.2,80,51-100,3900,17440,480,,21820,224,786,476,,1486,9,15.94166667,19.82222222,40.17893324,39.6292362,882.8,767.3,broadleaf,woodland/shrubland,subtropical humid Quercus forest,11.15,Low,Cannell (1982),page  284,Johnson and Risser (1974),"Site allometries, root cores, litterfall traps."
62,47.19,-121.35,23,0-50,2470,3550,1360,,7380,178,481,126,,785,6,5.3,10.76666667,41.69677579,40.87957588,2032.6,521.6,needle,temperate rainforest,subalpine Abies amabilis forest,2.05,Low,Cannell (1982),page  289,Grier et al. (1981); Grier and Milne (1981); Gholz et al. (1979),"Site allometries, root excavation, litterfall traps."
63,47.19,-121.35,180,101-200,13770,42390,2170,,58330,1223,347,103,,1673,6,5.3,10.76666667,41.69677579,40.87957588,2032.6,521.6,needle,temperate rainforest,subalpine Abies amabilis forest,2.05,Low,Cannell (1982),page  289,Grier et al. (1981); Grier and Milne (1981); Gholz et al. (1979),"Site allometries, root excavation, litterfall traps."
64,39.2,-123.45,136,101-200,830,2190,330,140,3490,96,135,119,53,350,11,12.18333333,11.61818182,40.68039044,40.76002777,1113.5,1110.5,mixed,temperate forest,pygmy forests,11.8,Low,Cannell (1982),page  293,Westman and Whittaker (1975); Jenny et al. (1969),"Site allometries, root excavation, litterfall traps."
65,48.2,-116.5,20,0-50,1120,1020,380,,2520,158,327,145,,630,5,6.766666667,14.68,41.48867184,40.32235082,857.4,234.7,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  305,Hanley (1976),Published allometries.
66,48.2,-116.5,100,51-100,5800,25200,1300,,32300,70,410,440,,920,5,6.766666667,14.68,41.48867184,40.32235082,857.4,234.7,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  305,Hanley (1976),Published allometries.
67,48.2,-116.5,105,101-200,8200,31300,1600,,41100,80,380,620,,1080,5,6.766666667,14.68,41.48867184,40.32235082,857.4,234.7,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  305,Hanley (1976),Published allometries.
68,48.2,-116.5,110,101-200,6900,26700,1000,,34600,70,280,470,,820,5,6.766666667,14.68,41.48867184,40.32235082,857.4,234.7,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  305,Hanley (1976),Published allometries.
69,48.2,-116.5,250,201+,8400,30400,1200,,40000,80,267,286,,633,5,6.766666667,14.68,41.48867184,40.32235082,857.4,234.7,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  305,Hanley (1976),Published allometries.
70,46.35,-115.37,103,101-200,6900,40800,1500,,49200,180,970,380,,1530,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  306,Hanley (1976),Published allometries.
71,46.35,-115.37,103,101-200,7100,42000,1500,,50600,170,850,380,,1400,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  306,Hanley (1976),Published allometries.
72,46.35,-115.37,103,101-200,6500,46300,1600,,54400,160,980,460,,1600,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  306,Hanley (1976),Published allometries.
73,47.47,-116.3,105,101-200,5500,26900,2100,,34500,70,380,540,,990,5,6.033333333,13.62,41.59547931,40.47189819,893.3,240.2,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  306,Hanley (1976),Published allometries.
74,46.35,-115.37,103,101-200,7300,40000,1500,,48800,170,800,340,,1310,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  307,Hanley (1976),Published allometries.
75,46.35,-115.37,103,101-200,7000,41500,1500,,50000,170,980,420,,1570,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  307,Hanley (1976),Published allometries.
76,46.35,-115.37,103,101-200,7400,43900,1600,,52900,150,860,350,,1360,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  307,Hanley (1976),Published allometries.
77,46.35,-115.37,103,101-200,7400,52500,1900,,61800,170,910,480,,1560,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  307,Hanley (1976),Published allometries.
78,46.35,-115.37,103,101-200,11900,65100,2400,,79400,240,1180,580,,2000,5,5.741666667,13.62,41.64139335,40.47206325,700.4,220.8,needle,temperate forest,evergreen needle leaf forest,2.05,Low,Cannell (1982),page  307,Hanley (1976),Published allometries.
79,44.28,-123.29,40,0-50,4930,23570,1470,,29970,916,164,241,,1321,12,11.45833333,11.45833333,40.7872453,40.7872453,1216.2,1216.2,needle,temperate forest,Pseudotsuga menziesii forest,11.8,Low,Cannell (1982),page  337,Fogel and Hunt (1979),"Published allometries (nearby forest), litterfall traps."
80,44.15,-122.2,450,201+,20900,69400,1240,,91540,935,270,470,,1675,6,8.091666667,13.05,41.27952456,40.55275432,1603.8,386.7,needle,temperate forest,old growth Pseudotsuga menziesii forest,2.05,Low,Cannell (1982),page  341,"Grier and Logan (1977); Santantonio et al. (1977), Santantonio (1979)","Site allometries, root excavation, root cores, litterfall traps."
81,45.02,-123.56,26,0-50,3840,17160,2110,,23110,550,2600,1220,,4370,12,9.691666667,9.691666667,41.03833326,41.03833326,1689.1,1689.1,needle,temperate forest,Tsuga-Picea forest,6.6,Low,Cannell (1982),page  349,"Fujimori (1971), Grier (1976), Fujimori et al. (1976)","Site allometries, proportional basal area allocation, litterfall traps."
82,45.02,-123.56,121,101-200,18670,86340,810,,105820,270,1670,580,,2520,12,9.691666667,9.691666667,41.03833326,41.03833326,1689.1,1689.1,needle,temperate forest,Tsuga-Picea forest,6.6,Low,Cannell (1982),page  349,"Fujimori (1971), Grier (1976), Fujimori et al. (1976)","Site allometries, proportional basal area allocation, litterfall traps."
83,62,34,22,0-50,620,2040,550,,3210,52,213,173,,438,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  361,"Kazimirov and Morozova (1973, 1981)",
84,62,34,37,0-50,1410,5290,910,,7610,48,329,252,,629,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  361,"Kazimirov and Morozova (1973, 1981)",
85,62,34,45,0-50,1580,6840,980,,9400,52,358,265,,675,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  361,"Kazimirov and Morozova (1973, 1981)",
86,62,34,54,51-100,2160,8720,1090,,11970,53,380,280,,713,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  361,"Kazimirov and Morozova (1973, 1981)",
87,62,34,38,0-50,1830,7750,990,,10570,61,473,300,,834,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  362,"Kazimirov and Morozova (1973, 1981)",
88,62,34,42,0-50,800,2800,650,,4250,29,214,192,,435,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  362,"Kazimirov and Morozova (1973, 1981)",
89,62,34,43,0-50,1680,7100,950,,9730,53,425,161,,639,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  362,"Kazimirov and Morozova (1973, 1981)",
90,62,34,37,0-50,660,2260,570,,3490,27,164,148,,339,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  363,"Kazimirov and Morozova (1973, 1981)",
91,62,34,39,0-50,1460,5940,1020,,8420,48,381,278,,707,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  363,"Kazimirov and Morozova (1973, 1981)",
92,62,34,45,0-50,1010,3770,820,,5600,36,278,233,,547,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  363,"Kazimirov and Morozova (1973, 1981)",
93,62,34,68,51-100,2910,12110,1150,1,16171,50,366,286,1,702,6,2.625,11.05,42.13160494,40.84333597,574.6,372.3,needle,taiga,Picea abies forest,50.35,High,Cannell (1982),page  363,"Kazimirov and Morozova (1973, 1981)",
94,65,47,125,101-200,4070,11910,730,70,16780,60,200,430,,690,4,-1.241666667,11.225,42.74681339,40.81317233,593.2,267.2,needle,taiga,taiga,50.35,High,Cannell (1982),page  366,Rodin and Bazilevich (1967); Marchenko and Karlov (1962),
95,65,47,200,101-200,8510,23460,1630,,33600,140,500,330,,970,4,-1.241666667,11.225,42.74681339,40.81317233,593.2,267.2,mixed,taiga,taiga,50.35,High,Cannell (1982),page  366,Rodin and Bazilevich (1967); Marchenko and Karlov (1962),
